"Category","Snippet","Tool","Coverage","Status","Size","Run","Duration"
"R1b","R1b_guessClassByMethodWithParams","CATG","42.86","NC","1","run-06-30sec","494"
"R1b","R1b_guessClassByMethodWithoutParams","CATG","42.86","NC","1","run-06-30sec","496"
"R1b","R1b_guessClassByName","CATG","27.27","NC","1","run-06-30sec","504"
"R1b","R1b_guessClassBySimpleName","CATG","30.00","NC","1","run-06-30sec","497"
"R1b","R1b_guessClassBySuperclass","CATG","50.00","NC","1","run-06-30sec","497"
"R2a","R2a_guessMethodByAnnotation","CATG","","N/A","","run-06-30sec",""
"R2a","R2a_guessMethodByNameAndDeclaringClass","CATG","","N/A","","run-06-30sec",""
"R2a","R2a_guessMethodByNameAndParameter","CATG","","N/A","","run-06-30sec",""
"R2a","R2a_guessMethodByNameAndReturnType","CATG","","N/A","","run-06-30sec",""
"R2b","R2b_guessMethodByAnnotation","CATG","33.33","NC","1","run-06-30sec","493"
"R2b","R2b_guessMethodByNameAndDeclaringClass","CATG","50.00","NC","1","run-06-30sec","500"
"R2b","R2b_guessMethodByNameAndParameter","CATG","42.86","NC","1","run-06-30sec","506"
"R2b","R2b_guessMethodByNameAndReturnType","CATG","50.00","NC","1","run-06-30sec","500"
"R3","R3_guessObjectWithClass","CATG","","N/A","","run-06-30sec",""
"R3","R3_guessObjectWithInstanceOfClass","CATG","","N/A","","run-06-30sec",""
"R3","R3_guessObjectWithInstanceOfInterface","CATG","","N/A","","run-06-30sec",""
"R3","R3_instantiateObject","CATG","","N/A","","run-06-30sec",""
"R3","R3_useObjectWithDirectCall","CATG","","N/A","","run-06-30sec",""
"R3","R3_useObjectWithInvoke","CATG","","N/A","","run-06-30sec",""
"Env1","Env1_writesEofToStdin","CATG","","T/M","","run-07-30sec","30204"
"Env1","Env1_writesErrorOutputBack","CATG","","T/M","","run-07-30sec","30203"
"Env1","Env1_writesOneLineToStdin","CATG","","T/M","","run-07-30sec","30203"
"Env1","Env1_writesOutputBack","CATG","","T/M","","run-07-30sec","30203"
"Env2","Env2_createDir","CATG","85.71","NC","1","run-07-30sec","509"
"Env2","Env2_createDirWithContent","CATG","54.55","NC","1","run-07-30sec","521"
"Env2","Env2_createFile","CATG","85.71","NC","1","run-07-30sec","519"
"Env2","Env2_createFileWithContent","CATG","66.67","NC","1","run-07-30sec","519"
"Env2","Env2_guessDirname","CATG","81.82","NC","1","run-07-30sec","537"
"Env2","Env2_guessFilename","CATG","81.82","NC","1","run-07-30sec","543"
"Env2","Env2_guessFilenameAndContent","CATG","71.43","NC","1","run-07-30sec","550"
"Env3","Env3_deadlock","CATG","","EX","","run-07-30sec","450"
"Env3","Env3_guessBothCases","CATG","","N/A","","run-07-30sec",""
"Env3","Env3_guessHost","CATG","","EX","","run-07-30sec","482"
"Env3","Env3_guessHostAndPort","CATG","","EX","","run-07-30sec","513"
"Env3","Env3_guessNegativeAnswer","CATG","","EX","","run-07-30sec","473"
"Env3","Env3_guessPort","CATG","","EX","","run-07-30sec","508"
"Env3","Env3_guessPositiveAnswer","CATG","","EX","","run-07-30sec","492"
"Env4","Env4_manipulatesClock","CATG","","EX","","run-07-30sec","455"
"Env4","Env4_manipulatesRandom","CATG","75.00","NC","1","run-07-30sec","472"
"Env4","Env4_setsEnv","CATG","66.67","NC","1","run-07-30sec","465"
"Env4","Env4_setsProperty","CATG","66.67","NC","1","run-07-30sec","451"
"T1","T1_canInterruptSleep","CATG","","T/M","","run-07-30sec","30203"
"T1","T1_canNameThread","CATG","75.00","NC","1","run-07-30sec","469"
"T1","T1_canStartEnoughThreads","CATG","","T/M","","run-07-30sec","30202"
"T2","T2_createsLock","CATG","","N/A","","run-07-30sec",""
"T2","T2_signalAwait","CATG","90.91","NC","1","run-07-30sec","623"
"T3","T3_deadlock","CATG","","T/M","","run-07-30sec","30203"
"T3","T3_livelock","CATG","","T/M","","run-07-30sec","30202"
"T3","T3_raceCondition","CATG","","T/M","","run-07-30sec","30202"
"T3","T3_starvation","CATG","","T/M","","run-07-30sec","30202"
"R1a","R1a_guessClassByAnnotation","CATG","","N/A","","run-07-30sec",""
"R1a","R1a_guessClassByField","CATG","","N/A","","run-07-30sec",""
"R1a","R1a_guessClassByInterface","CATG","","N/A","","run-07-30sec",""
"R1a","R1a_guessClassByMethodWithParams","CATG","","N/A","","run-07-30sec",""
"R1a","R1a_guessClassByMethodWithoutParams","CATG","","N/A","","run-07-30sec",""
"R1a","R1a_guessClassByName","CATG","","N/A","","run-07-30sec",""
"R1a","R1a_guessClassBySimpleName","CATG","","N/A","","run-07-30sec",""
"R1a","R1a_guessClassBySuperclass","CATG","","N/A","","run-07-30sec",""
"R1b","R1b_guessClassByAnnotation","CATG","33.33","NC","1","run-07-30sec","504"
"R1b","R1b_guessClassByField","CATG","42.86","NC","1","run-07-30sec","498"
"R1b","R1b_guessClassByInterface","CATG","42.86","NC","1","run-07-30sec","495"
"R1b","R1b_guessClassByMethodWithParams","CATG","42.86","NC","1","run-07-30sec","501"
"R1b","R1b_guessClassByMethodWithoutParams","CATG","42.86","NC","1","run-07-30sec","499"
"R1b","R1b_guessClassByName","CATG","27.27","NC","1","run-07-30sec","494"
"R1b","R1b_guessClassBySimpleName","CATG","30.00","NC","1","run-07-30sec","491"
"R1b","R1b_guessClassBySuperclass","CATG","50.00","NC","1","run-07-30sec","496"
"R2a","R2a_guessMethodByAnnotation","CATG","","N/A","","run-07-30sec",""
"R2a","R2a_guessMethodByNameAndDeclaringClass","CATG","","N/A","","run-07-30sec",""
"R2a","R2a_guessMethodByNameAndParameter","CATG","","N/A","","run-07-30sec",""
"R2a","R2a_guessMethodByNameAndReturnType","CATG","","N/A","","run-07-30sec",""
"R2b","R2b_guessMethodByAnnotation","CATG","33.33","NC","1","run-07-30sec","510"
"R2b","R2b_guessMethodByNameAndDeclaringClass","CATG","50.00","NC","1","run-07-30sec","490"
"R2b","R2b_guessMethodByNameAndParameter","CATG","42.86","NC","1","run-07-30sec","507"
"R2b","R2b_guessMethodByNameAndReturnType","CATG","50.00","NC","1","run-07-30sec","491"
"R3","R3_guessObjectWithClass","CATG","","N/A","","run-07-30sec",""
"R3","R3_guessObjectWithInstanceOfClass","CATG","","N/A","","run-07-30sec",""
"R3","R3_guessObjectWithInstanceOfInterface","CATG","","N/A","","run-07-30sec",""
"R3","R3_instantiateObject","CATG","","N/A","","run-07-30sec",""
"R3","R3_useObjectWithDirectCall","CATG","","N/A","","run-07-30sec",""
"R3","R3_useObjectWithInvoke","CATG","","N/A","","run-07-30sec",""
"Env1","Env1_writesEofToStdin","CATG","","T/M","","run-08-30sec","30204"
"Env1","Env1_writesErrorOutputBack","CATG","","T/M","","run-08-30sec","30203"
"Env1","Env1_writesOneLineToStdin","CATG","","T/M","","run-08-30sec","30203"
"Env1","Env1_writesOutputBack","CATG","","T/M","","run-08-30sec","30203"
"Env2","Env2_createDir","CATG","85.71","NC","1","run-08-30sec","517"
"Env2","Env2_createDirWithContent","CATG","54.55","NC","1","run-08-30sec","524"
"Env2","Env2_createFile","CATG","85.71","NC","1","run-08-30sec","508"
"Env2","Env2_createFileWithContent","CATG","66.67","NC","1","run-08-30sec","526"
"Env2","Env2_guessDirname","CATG","81.82","NC","1","run-08-30sec","532"
"Env2","Env2_guessFilename","CATG","81.82","NC","1","run-08-30sec","525"
"Env2","Env2_guessFilenameAndContent","CATG","71.43","NC","1","run-08-30sec","558"
"Env3","Env3_deadlock","CATG","","EX","","run-08-30sec","450"
"Env3","Env3_guessBothCases","CATG","","N/A","","run-08-30sec",""
"Env3","Env3_guessHost","CATG","","EX","","run-08-30sec","474"
"Env3","Env3_guessHostAndPort","CATG","","EX","","run-08-30sec","499"
"Env3","Env3_guessNegativeAnswer","CATG","","EX","","run-08-30sec","480"
"Env3","Env3_guessPort","CATG","","EX","","run-08-30sec","505"
"Env3","Env3_guessPositiveAnswer","CATG","","EX","","run-08-30sec","479"
"Env4","Env4_manipulatesClock","CATG","","EX","","run-08-30sec","450"
"Env4","Env4_manipulatesRandom","CATG","75.00","NC","1","run-08-30sec","480"
"Env4","Env4_setsEnv","CATG","66.67","NC","1","run-08-30sec","478"
"Env4","Env4_setsProperty","CATG","66.67","NC","1","run-08-30sec","470"
"T1","T1_canInterruptSleep","CATG","","T/M","","run-08-30sec","30202"
"T1","T1_canNameThread","CATG","75.00","NC","1","run-08-30sec","484"
"T1","T1_canStartEnoughThreads","CATG","","T/M","","run-08-30sec","30202"
"T2","T2_createsLock","CATG","","N/A","","run-08-30sec",""
"T2","T2_signalAwait","CATG","90.91","NC","1","run-08-30sec","625"
"T3","T3_deadlock","CATG","","T/M","","run-08-30sec","30202"
"T3","T3_livelock","CATG","","T/M","","run-08-30sec","30202"
"T3","T3_raceCondition","CATG","92.31","NC","1","run-08-30sec","709"
"T3","T3_starvation","CATG","","T/M","","run-08-30sec","30202"
"R1a","R1a_guessClassByAnnotation","CATG","","N/A","","run-08-30sec",""
"R1a","R1a_guessClassByField","CATG","","N/A","","run-08-30sec",""
"R1a","R1a_guessClassByInterface","CATG","","N/A","","run-08-30sec",""
"R1a","R1a_guessClassByMethodWithParams","CATG","","N/A","","run-08-30sec",""
"R1a","R1a_guessClassByMethodWithoutParams","CATG","","N/A","","run-08-30sec",""
"R1a","R1a_guessClassByName","CATG","","N/A","","run-08-30sec",""
"R1a","R1a_guessClassBySimpleName","CATG","","N/A","","run-08-30sec",""
"R1a","R1a_guessClassBySuperclass","CATG","","N/A","","run-08-30sec",""
"R1b","R1b_guessClassByAnnotation","CATG","33.33","NC","1","run-08-30sec","496"
"R1b","R1b_guessClassByField","CATG","42.86","NC","1","run-08-30sec","504"
"R1b","R1b_guessClassByInterface","CATG","42.86","NC","1","run-08-30sec","485"
"R1b","R1b_guessClassByMethodWithParams","CATG","42.86","NC","1","run-08-30sec","500"
"R1b","R1b_guessClassByMethodWithoutParams","CATG","42.86","NC","1","run-08-30sec","495"
"R1b","R1b_guessClassByName","CATG","27.27","NC","1","run-08-30sec","501"
"R1b","R1b_guessClassBySimpleName","CATG","30.00","NC","1","run-08-30sec","494"
"R1b","R1b_guessClassBySuperclass","CATG","50.00","NC","1","run-08-30sec","487"
"R2a","R2a_guessMethodByAnnotation","CATG","","N/A","","run-08-30sec",""
"R2a","R2a_guessMethodByNameAndDeclaringClass","CATG","","N/A","","run-08-30sec",""
"R2a","R2a_guessMethodByNameAndParameter","CATG","","N/A","","run-08-30sec",""
"R2a","R2a_guessMethodByNameAndReturnType","CATG","","N/A","","run-08-30sec",""
"R2b","R2b_guessMethodByAnnotation","CATG","33.33","NC","1","run-08-30sec","509"
"R2b","R2b_guessMethodByNameAndDeclaringClass","CATG","50.00","NC","1","run-08-30sec","493"
"R2b","R2b_guessMethodByNameAndParameter","CATG","42.86","NC","1","run-08-30sec","514"
"R2b","R2b_guessMethodByNameAndReturnType","CATG","50.00","NC","1","run-08-30sec","507"
"R3","R3_guessObjectWithClass","CATG","","N/A","","run-08-30sec",""
"R3","R3_guessObjectWithInstanceOfClass","CATG","","N/A","","run-08-30sec",""
"R3","R3_guessObjectWithInstanceOfInterface","CATG","","N/A","","run-08-30sec",""
"R3","R3_instantiateObject","CATG","","N/A","","run-08-30sec",""
"R3","R3_useObjectWithDirectCall","CATG","","N/A","","run-08-30sec",""
"R3","R3_useObjectWithInvoke","CATG","","N/A","","run-08-30sec",""
"Env1","Env1_writesEofToStdin","CATG","","T/M","","run-09-30sec","30205"
"Env1","Env1_writesErrorOutputBack","CATG","","T/M","","run-09-30sec","30203"
"Env1","Env1_writesOneLineToStdin","CATG","","T/M","","run-09-30sec","30205"
"Env1","Env1_writesOutputBack","CATG","","T/M","","run-09-30sec","30202"
"Env2","Env2_createDir","CATG","85.71","NC","1","run-09-30sec","504"
"Env2","Env2_createDirWithContent","CATG","54.55","NC","1","run-09-30sec","524"
"Env2","Env2_createFile","CATG","85.71","NC","1","run-09-30sec","522"
"Env2","Env2_createFileWithContent","CATG","66.67","NC","1","run-09-30sec","517"
"Env2","Env2_guessDirname","CATG","81.82","NC","1","run-09-30sec","534"
"Env2","Env2_guessFilename","CATG","81.82","NC","1","run-09-30sec","538"
"Env2","Env2_guessFilenameAndContent","CATG","71.43","NC","1","run-09-30sec","535"
"Env3","Env3_deadlock","CATG","","EX","","run-09-30sec","450"
"Env3","Env3_guessBothCases","CATG","","N/A","","run-09-30sec",""
"Env3","Env3_guessHost","CATG","","EX","","run-09-30sec","485"
"Env3","Env3_guessHostAndPort","CATG","","EX","","run-09-30sec","499"
"Env3","Env3_guessNegativeAnswer","CATG","","EX","","run-09-30sec","473"
"Env3","Env3_guessPort","CATG","","EX","","run-09-30sec","493"
"Env3","Env3_guessPositiveAnswer","CATG","","EX","","run-09-30sec","922"
"Env4","Env4_manipulatesClock","CATG","","EX","","run-09-30sec","452"
"Env4","Env4_manipulatesRandom","CATG","75.00","NC","1","run-09-30sec","481"
"Env4","Env4_setsEnv","CATG","66.67","NC","1","run-09-30sec","464"
"Env4","Env4_setsProperty","CATG","66.67","NC","1","run-09-30sec","474"
"T1","T1_canInterruptSleep","CATG","","T/M","","run-09-30sec","30203"
"T1","T1_canNameThread","CATG","75.00","NC","1","run-09-30sec","481"
"T1","T1_canStartEnoughThreads","CATG","","T/M","","run-09-30sec","30202"
"T2","T2_createsLock","CATG","","N/A","","run-09-30sec",""
"T2","T2_signalAwait","CATG","90.91","NC","1","run-09-30sec","623"
"T3","T3_deadlock","CATG","","T/M","","run-09-30sec","30202"
"T3","T3_livelock","CATG","","T/M","","run-09-30sec","30202"
"T3","T3_raceCondition","CATG","92.31","NC","1","run-09-30sec","701"
"T3","T3_starvation","CATG","","T/M","","run-09-30sec","30202"
"R1a","R1a_guessClassByAnnotation","CATG","","N/A","","run-09-30sec",""
"R1a","R1a_guessClassByField","CATG","","N/A","","run-09-30sec",""
"R1a","R1a_guessClassByInterface","CATG","","N/A","","run-09-30sec",""
"R1a","R1a_guessClassByMethodWithParams","CATG","","N/A","","run-09-30sec",""
"R1a","R1a_guessClassByMethodWithoutParams","CATG","","N/A","","run-09-30sec",""
"R1a","R1a_guessClassByName","CATG","","N/A","","run-09-30sec",""
"R1a","R1a_guessClassBySimpleName","CATG","","N/A","","run-09-30sec",""
"R1a","R1a_guessClassBySuperclass","CATG","","N/A","","run-09-30sec",""
"R1b","R1b_guessClassByAnnotation","CATG","33.33","NC","1","run-09-30sec","491"
"R1b","R1b_guessClassByField","CATG","42.86","NC","1","run-09-30sec","496"
"R1b","R1b_guessClassByInterface","CATG","42.86","NC","1","run-09-30sec","488"
"R1b","R1b_guessClassByMethodWithParams","CATG","42.86","NC","1","run-09-30sec","499"
"R1b","R1b_guessClassByMethodWithoutParams","CATG","42.86","NC","1","run-09-30sec","492"
"R1b","R1b_guessClassByName","CATG","27.27","NC","1","run-09-30sec","492"
"R1b","R1b_guessClassBySimpleName","CATG","30.00","NC","1","run-09-30sec","510"
"R1b","R1b_guessClassBySuperclass","CATG","50.00","NC","1","run-09-30sec","500"
"R2a","R2a_guessMethodByAnnotation","CATG","","N/A","","run-09-30sec",""
"R2a","R2a_guessMethodByNameAndDeclaringClass","CATG","","N/A","","run-09-30sec",""
"R2a","R2a_guessMethodByNameAndParameter","CATG","","N/A","","run-09-30sec",""
"R2a","R2a_guessMethodByNameAndReturnType","CATG","","N/A","","run-09-30sec",""
"R2b","R2b_guessMethodByAnnotation","CATG","33.33","NC","1","run-09-30sec","509"
"R2b","R2b_guessMethodByNameAndDeclaringClass","CATG","50.00","NC","1","run-09-30sec","494"
"R2b","R2b_guessMethodByNameAndParameter","CATG","42.86","NC","1","run-09-30sec","506"
"R2b","R2b_guessMethodByNameAndReturnType","CATG","50.00","NC","1","run-09-30sec","502"
"R3","R3_guessObjectWithClass","CATG","","N/A","","run-09-30sec",""
"R3","R3_guessObjectWithInstanceOfClass","CATG","","N/A","","run-09-30sec",""
"R3","R3_guessObjectWithInstanceOfInterface","CATG","","N/A","","run-09-30sec",""
"R3","R3_instantiateObject","CATG","","N/A","","run-09-30sec",""
"R3","R3_useObjectWithDirectCall","CATG","","N/A","","run-09-30sec",""
"R3","R3_useObjectWithInvoke","CATG","","N/A","","run-09-30sec",""
"Env1","Env1_writesEofToStdin","CATG","","T/M","","run-10-30sec","30205"
"Env1","Env1_writesErrorOutputBack","CATG","","T/M","","run-10-30sec","30204"
"Env1","Env1_writesOneLineToStdin","CATG","","T/M","","run-10-30sec","30203"
"Env1","Env1_writesOutputBack","CATG","","T/M","","run-10-30sec","30203"
"Env2","Env2_createDir","CATG","85.71","NC","1","run-10-30sec","510"
"Env2","Env2_createDirWithContent","CATG","54.55","NC","1","run-10-30sec","520"
"Env2","Env2_createFile","CATG","85.71","NC","1","run-10-30sec","523"
"Env2","Env2_createFileWithContent","CATG","66.67","NC","1","run-10-30sec","524"
"Env2","Env2_guessDirname","CATG","81.82","NC","1","run-10-30sec","531"
"Env2","Env2_guessFilename","CATG","81.82","NC","1","run-10-30sec","539"
"Env2","Env2_guessFilenameAndContent","CATG","71.43","NC","1","run-10-30sec","553"
"Env3","Env3_deadlock","CATG","","EX","","run-10-30sec","454"
"Env3","Env3_guessBothCases","CATG","","N/A","","run-10-30sec",""
"Env3","Env3_guessHost","CATG","","EX","","run-10-30sec","506"
"Env3","Env3_guessHostAndPort","CATG","","EX","","run-10-30sec","508"
"Env3","Env3_guessNegativeAnswer","CATG","","EX","","run-10-30sec","476"
"Env3","Env3_guessPort","CATG","","EX","","run-10-30sec","500"
"Env3","Env3_guessPositiveAnswer","CATG","","EX","","run-10-30sec","483"
"Env4","Env4_manipulatesClock","CATG","","EX","","run-10-30sec","461"
"Env4","Env4_manipulatesRandom","CATG","75.00","NC","1","run-10-30sec","469"
"Env4","Env4_setsEnv","CATG","66.67","NC","1","run-10-30sec","471"
"Env4","Env4_setsProperty","CATG","66.67","NC","1","run-10-30sec","476"
"T1","T1_canInterruptSleep","CATG","","T/M","","run-10-30sec","30203"
"T1","T1_canNameThread","CATG","75.00","NC","1","run-10-30sec","482"
"T1","T1_canStartEnoughThreads","CATG","","T/M","","run-10-30sec","30202"
"T2","T2_createsLock","CATG","","N/A","","run-10-30sec",""
"T2","T2_signalAwait","CATG","90.91","NC","1","run-10-30sec","614"
"T3","T3_deadlock","CATG","","T/M","","run-10-30sec","30202"
"T3","T3_livelock","CATG","","T/M","","run-10-30sec","30202"
"T3","T3_raceCondition","CATG","92.31","NC","1","run-10-30sec","697"
"T3","T3_starvation","CATG","","T/M","","run-10-30sec","30202"
"R1a","R1a_guessClassByAnnotation","CATG","","N/A","","run-10-30sec",""
"R1a","R1a_guessClassByField","CATG","","N/A","","run-10-30sec",""
"R1a","R1a_guessClassByInterface","CATG","","N/A","","run-10-30sec",""
"R1a","R1a_guessClassByMethodWithParams","CATG","","N/A","","run-10-30sec",""
"R1a","R1a_guessClassByMethodWithoutParams","CATG","","N/A","","run-10-30sec",""
"R1a","R1a_guessClassByName","CATG","","N/A","","run-10-30sec",""
"R1a","R1a_guessClassBySimpleName","CATG","","N/A","","run-10-30sec",""
"R1a","R1a_guessClassBySuperclass","CATG","","N/A","","run-10-30sec",""
"R1b","R1b_guessClassByAnnotation","CATG","33.33","NC","1","run-10-30sec","496"
"R1b","R1b_guessClassByField","CATG","42.86","NC","1","run-10-30sec","493"
"R1b","R1b_guessClassByInterface","CATG","42.86","NC","1","run-10-30sec","500"
"R1b","R1b_guessClassByMethodWithParams","CATG","42.86","NC","1","run-10-30sec","503"
"R1b","R1b_guessClassByMethodWithoutParams","CATG","42.86","NC","1","run-10-30sec","488"
"R1b","R1b_guessClassByName","CATG","27.27","NC","1","run-10-30sec","496"
"R1b","R1b_guessClassBySimpleName","CATG","30.00","NC","1","run-10-30sec","501"
"R1b","R1b_guessClassBySuperclass","CATG","50.00","NC","1","run-10-30sec","495"
"R2a","R2a_guessMethodByAnnotation","CATG","","N/A","","run-10-30sec",""
"R2a","R2a_guessMethodByNameAndDeclaringClass","CATG","","N/A","","run-10-30sec",""
"R2a","R2a_guessMethodByNameAndParameter","CATG","","N/A","","run-10-30sec",""
"R2a","R2a_guessMethodByNameAndReturnType","CATG","","N/A","","run-10-30sec",""
"R2b","R2b_guessMethodByAnnotation","CATG","33.33","NC","1","run-10-30sec","508"
"R2b","R2b_guessMethodByNameAndDeclaringClass","CATG","50.00","NC","1","run-10-30sec","507"
"R2b","R2b_guessMethodByNameAndParameter","CATG","42.86","NC","1","run-10-30sec","506"
"R2b","R2b_guessMethodByNameAndReturnType","CATG","50.00","NC","1","run-10-30sec","501"
"R3","R3_guessObjectWithClass","CATG","","N/A","","run-10-30sec",""
"R3","R3_guessObjectWithInstanceOfClass","CATG","","N/A","","run-10-30sec",""
"R3","R3_guessObjectWithInstanceOfInterface","CATG","","N/A","","run-10-30sec",""
"R3","R3_instantiateObject","CATG","","N/A","","run-10-30sec",""
"R3","R3_useObjectWithDirectCall","CATG","","N/A","","run-10-30sec",""
"R3","R3_useObjectWithInvoke","CATG","","N/A","","run-10-30sec",""
